Date,S&P 500,FTSE-500,CAC-40,Nikkei,,
5/9/18,5292.9,8830.229,16910.33,322.3993,,
5/10/18,5343.7,8926.561,16915.41,321.2446,,
5/11/18,5354.69,8982.756,17065.64,326.1963,,
5/14/18,5359.66,8999.31,17121.67,328.0291,,
5/15/18,5323.23,9003.785,17130.13,326.1704,,
5/16/18,5346.33,8997.748,17015.73,323.0634,,
5/17/18,5343.29,9033.194,17177.03,324.6036,,
5/18/18,5329.66,9057.265,17122.82,324.5319,,
5/21/18,5369.19,9060.58,17154.31,325.3984,,
5/22/18,5352.45,9118.923,17227.23,324.5169,,
5/23/18,5369.99,9021.465,16994.81,321.4222,,
5/24/18,5359.32,8921.819,16829,320.3212,,
5/25/18,5347.31,8914.335,16829.04,322.152,,
5/29/18,5285.7,8762.491,16407.2,320.6009,,
5/30/18,5353.76,8730.404,16320.17,318.6251,,
5/31/18,5318.1,8794.833,16415.31,320.3378,,
6/1/18,5376.29,8829.83,16661.03,319.7893,,
6/4/18,5400.5,8901.56,16656.5,321.6713,,
6/5/18,5404.62,8857.503,16676.78,321.5108,,
6/6/18,5451.09,8899.72,16708.81,323.0457,,
6/7/18,5448.18,8953.093,16764.97,325.0789,,
6/8/18,5465.42,8881.028,16784.55,324.5149,,
6/11/18,5471.29,8928.078,16872.01,326.8291,,
6/12/18,5481.07,8925.292,16794.66,325.093,,
6/13/18,5459.21,8896.096,16755.78,326.1489,,
6/14/18,5474.37,8876.718,17074.54,323.5294,,
6/15/18,5469.37,8774.371,16645.37,323.9623,,
6/18/18,5457.83,8749.406,16532.18,321.6141,,
6/19/18,5436.13,8677.971,16399.74,317.2897,,
6/20/18,5445.43,8684.893,16284.7,321.4496,,
6/21/18,5411.4,8625.533,16113.07,322.5925,,
6/22/18,5421.63,8682.356,16367.11,321.2582,,
6/25/18,5347.23,8636.833,16129.55,318.7667,,
6/26/18,5359.01,8649.025,16178.88,319.7001,,
6/27/18,5312.89,8614.142,16246.31,317.8117,,
6/28/18,5346.44,8628.467,15969.44,317.4679,,
6/29/18,5350.83,8643.648,16113.44,317.2381,,
7/2/18,5367.49,8645.423,16131.56,309.6045,,
7/3/18,5340.93,8608.597,16203.17,308.7808,,
7/5/18,5388.28,8696.863,16385.64,306.4196,,
7/6/18,5434.36,8691.11,16461.72,309.6332,,
7/9/18,5483.89,8793.908,16609.78,313.8311,,
7/10/18,5503.05,8834.254,16727.99,314.3787,,
7/11/18,5464.01,8721.62,16438.47,310.9719,,
7/12/18,5512.36,8706.46,16526.91,311.4313,,
7/13/18,5518.33,8754.896,16582.68,315.1872,,
7/17/18,5534.91,8712.225,16624.18,317.402,,
7/18/18,5546.86,8676.448,16620.33,316.9565,,
7/19/18,5525.51,8696.859,16516.9,317.1664,,
7/20/18,5520.5,8628.103,16473.18,317.4404,,
7/23/18,5530.66,8699.035,16534.1,316.9272,,
7/24/18,5557.37,8700.16,16638.09,317.37,,
7/25/18,5607.99,8723.867,16602.04,319.4607,,
7/26/18,5590.99,8759.334,16842.25,320.2138,,
7/27/18,5554.31,8724.351,16801.71,321.1469,,
7/30/18,5522.81,8722.71,16764.28,319.3819,,
7/31/18,5549.96,8779.301,16893.33,319.335,,
8/1/18,5544.19,8700.448,16828.09,319.7227,,
8/2/18,5572.08,8609.251,16679.74,316.9642,,
8/3/18,5598.71,8568.488,16620.12,316.9435,,
8/6/18,5619.05,8627.446,16580.65,317.9904,,
8/7/18,5634.98,8618.496,16708.08,319.8815,,
8/8/18,5633.67,8669.213,16714.05,319.607,,
8/9/18,5627,8676.338,16726.35,320.2645,,
8/10/18,5588.66,8576.882,16337.04,315.4424,,
8/13/18,5566.36,8482.198,16146.84,310.5,,
8/14/18,5602.41,8468.289,16131.28,317.4918,,
8/15/18,5560.85,8302.313,15759.26,313.6769,,
8/16/18,5606.56,8328.887,15887.37,315.4044,,
8/17/18,5625.66,8360.675,15913.16,315.2975,,
8/20/18,5639.53,8431.545,16110.67,315.7918,,
8/21/18,5651.39,8467.931,16273.31,317.6018,,
8/22/18,5649.31,8505.435,16430.67,319.1034,,
8/23/18,5640.1,8543.151,16438.21,318.4793,,
8/24/18,5675.12,8477.301,16419.19,318.9462,,
8/28/18,5720.89,8556.639,16779.27,322.5998,,
8/29/18,5754,8500.846,16840.29,323.2128,,
8/30/18,5729.45,8558.394,16795.56,321.921,,
8/31/18,5730.8,8463.571,16513.43,323.9272,,
9/4/18,5721.86,8381.322,16248.69,321.2861,,
9/5/18,5705.86,8284.725,15957.98,318.5734,,
9/6/18,5686.7,8280.563,15975.1,317.2971,,
9/7/18,5674.58,8189.798,15979.82,317.4623,,
9/10/18,5685.34,8226.238,15951.42,317.182,,
9/11/18,5706.99,8246.303,16042.5,320.6569,,
9/12/18,5709.08,8274.056,16189.48,318.4916,,
9/13/18,5740.75,8321.138,16223.57,322.6638,,
9/14/18,5743.19,8370.536,16385.68,324.2198,,
9/18/18,5742.18,8393.34,16388.68,329.7425,,
9/19/18,5749.39,8405.112,16495.39,331.5477,,
9/20/18,5794.72,8438.846,16664.73,331.4634,,
9/21/18,5792.72,8572.571,16940.65,333.6647,,
9/25/18,5765.25,8574.484,16883.82,333.7843,,
9/26/18,5746.27,8655.807,17002.22,336.7031,,
9/27/18,5763.22,8652.672,17066.31,334.166,,
9/28/18,5763.42,8572.218,16761.7,336.7548,,
10/1/18,5784.45,8537.024,16756.12,337.2041,,
10/2/18,5782.37,8515.012,16597.83,337.1055,,
10/3/18,5786.48,8508.649,16632.03,335.9758,,
10/4/18,5740.56,8418.022,16281.02,331.4373,,
10/5/18,5708.9,8366.349,16184.81,330.4934,,
10/9/18,5700.23,8256.312,16028.14,328.4238,,
10/10/18,5512.94,8252.102,15716.38,329.2249,,
10/11/18,5399.54,8121.043,15450.34,318.9642,,
10/12/18,5476.83,8134.138,15495.19,320.4641,,
10/15/18,5444.61,8015.53,15440.19,314.172,,
10/16/18,5561.8,8090.15,15720.06,319.0911,,
10/17/18,5560.62,8133.838,15623.63,321.78,,
10/18/18,5481.13,8093.027,15438.24,318.392,,
10/19/18,5479.3,8027.25,15286.79,317.8706,,
10/22/18,5455.88,8086.49,15258.12,318.2011,,
10/23/18,5426.08,7895.725,14945.41,308.9412,,
10/24/18,5258.61,7935.366,14908.33,310.9327,,
10/25/18,5356.54,7801.534,15049.18,300.5113,,
10/26/18,5263.74,7724.23,14827.1,298.4264,,
10/29/18,5229.28,7827.307,14920.07,299.1181,,
10/30/18,5311.67,7859.533,14858.23,302.5482,,
10/31/18,5369.49,7860.378,15161.32,307.1348,,
11/1/18,5426.33,7955.451,15098.96,304.4306,,
11/2/18,5392.53,8110.999,15263.42,312.613,,
11/5/18,5422.88,8093.041,15253.54,306.6173,,
11/6/18,5457.25,8068.346,15200.48,309.8083,,
11/7/18,5573.06,8117.24,15422.94,308.6228,,
11/8/18,5562,8220.035,15397.46,313.7193,,
11/9/18,5511.79,8130.523,15235.36,309.313,,
11/12/18,5403.19,8030.508,15035.59,309.8769,,
11/13/18,5395.37,7939.296,15040.02,303.8855,,
11/14/18,5355.94,7993.366,15046.19,304.1378,,
11/15/18,5414.43,7993.351,14942.46,304.1425,,
11/16/18,5426.86,7846.227,14934.68,302.4468,,
11/19/18,5336.7,7919.856,14933.76,306.6391,,
11/20/18,5240.23,7830.07,14805.44,304.0872,,
11/21/18,5256.61,7836.416,14849.72,302.3233,,
11/26/18,5304.17,7867.06,14861.89,306.0164,,
11/27/18,5321.52,7902.268,14821.49,306.3988,,
11/28/18,5444.12,7863.653,14780.15,308.8184,,
11/29/18,5433.49,7934.661,14940.04,310.5889,,
11/30/18,5478.91,7866.157,14964.91,312.2396,,
12/3/18,5538.86,7863.592,15047.6,314.3889,,
12/4/18,5359.91,7871.835,14956.76,307.362,,
12/6/18,5353.43,7503.509,14256.65,301.3297,,
12/7/18,5229.44,7567.929,14386.56,304.787,,
12/10/18,5238.7,7550.847,14207.75,298.8271,,
12/11/18,5237.1,7458.626,14342.84,296.0338,,
12/12/18,5265.53,7512.335,14607.84,301.8577,,
12/13/18,5265.46,7641.956,14635.36,305.1066,,
12/14/18,5165.6,7590.443,14493.65,298.2101,,
12/17/18,5058.58,7518.474,14260.64,300.5023,,
12/18/18,5059.34,7469.849,14201.32,296.5,,
12/19/18,4981.92,7489.253,14303.29,295.5081,,
12/20/18,4903.46,7416.128,14066.26,287.4169,,
12/21/18,4802.51,7448.804,14155.22,287.3938,,
12/24/18,4672.66,7444.812,13847.87,273.2813,,
12/27/18,4946.94,7312.146,13750.81,286.5818,,
12/28/18,4941.61,7364.514,14076.28,286.5893,,
1/4/19,5035.45,7475.662,14202.07,288.0223,,
1/7/19,5070.76,7634.825,14172.33,293.1044,,
1/8/19,5120.04,7695.871,14421.86,295.2631,,
1/9/19,5142.66,7730.747,14513.63,298.0832,,
1/10/19,5165.89,7767.365,14614.82,295.838,,
1/11/19,5165.15,7786.815,14484.48,298.4116,,
1/15/19,5193.78,7800.332,14455.82,301.4119,,
1/16/19,5205.45,7797.42,14459.01,298.6746,,
1/17/19,5245.48,7752.479,14386.16,297.0088,,
1/18/19,5314.78,7852.802,14623.91,300.5294,,
1/22/19,5239.75,7849.232,14508.97,298.488,,
1/23/19,5251.29,7836.213,14480.81,298.9241,,
1/24/19,5258.69,7874.1,14606.33,298.2734,,
1/25/19,5303.51,7903.374,14670.91,300.8688,,
1/28/19,5261.88,7870.623,14688.09,299.6033,,
1/29/19,5254.31,7857.083,14829.09,300.2556,,
1/30/19,5336.6,7909.991,14979.66,298.2399,,
1/31/19,5383.63,8056.586,15102.47,302.5933,,
2/1/19,5389.19,8084.029,15132.33,303.1909,,
2/4/19,5425.8,8103.118,15082.44,302.9288,,
2/5/19,5451.4,8110.305,15307.83,300.9203,,
2/6/19,5439.8,8194.036,15259.66,301.4026,,
2/7/19,5389.69,8119.414,14921.05,299.5398,,
2/8/19,5395.12,8095.795,14813.93,294.0874,,
2/12/19,5468.98,8107.259,15017.2,300.0078,,
2/13/19,5485.97,8139.196,15144.71,303.7214,,
2/14/19,5473.33,8195.014,15016.73,302.536,,
2/15/19,5533.27,8160.298,15326.92,300.1562,,
2/19/19,5541.98,8214.72,15371.32,305.7831,,
2/20/19,5552.9,8319.519,15519.85,307.6854,,
2/21/19,5533.8,8290.304,15524.92,307.6185,,
2/22/19,5569.45,8311.741,15579.29,307.2216,,
2/25/19,5577.09,8322.317,15626.01,308.5161,,
2/26/19,5572.74,8283.744,15681.39,306.8458,,
2/27/19,5570.57,8355.741,15676.67,309.745,,
2/28/19,5556.49,8360.752,15704.31,306.4348,,
3/1/19,5595.11,8367.121,15768.89,308.1758,,
3/4/19,5573.53,8389.049,15836.33,309.6891,,
3/5/19,5567.4,8374.271,15815.34,308.7743,,
3/6/19,5531.34,8410.921,15747.21,306.6901,,
3/7/19,5487.56,8391.618,15694.58,305.3539,,
3/8/19,5476.39,8277.597,15425.91,299.1984,,
3/11/19,5556.77,8242.4,15575.62,302.1141,,
3/12/19,5556.77,8382.563,15625.51,306.8049,,
3/13/19,5612.56,8320.645,15772.04,303.8577,,
3/14/19,5609.59,8487.357,15962.48,304.1123,,
3/15/19,5637.77,8514.283,16095.93,304.9254,,
3/18/19,5658.73,8589.899,16135.7,307.3533,,
3/19/19,5658.15,8647.315,16219.77,307.6203,,
3/20/19,5641.74,8647.764,16116.99,308.1429,,
3/22/19,5595.5,8449.125,15807.42,310.0643,,
3/25/19,5591.23,8442.617,15669.8,302.7229,,
3/26/19,5631.39,8474.853,15836.92,309.2719,,
3/27/19,5605.32,8461.478,15771.28,309.6701,,
3/28/19,5626.32,8465.354,15725.05,304.8506,,
3/29/19,5664.46,8441.347,15854.64,306.9511,,
4/1/19,5730.04,8484.738,16008.8,310.336,,
4/2/19,5730.35,8558.803,16036.02,309.0128,,
4/3/19,5742.67,8672.572,16167.65,312.4093,,
4/4/19,5755.96,8701.557,16214.7,312.3257,,
4/5/19,5782.7,8674.641,16221.03,312.774,,
4/8/19,5788.86,8671.791,16198.83,311.9683,,
4/9/19,5755.49,8680.185,16147.05,313.2703,,
4/10/19,5775.99,8671.574,16202.17,312.602,,
4/11/19,5776.28,8678.398,16322.51,313.2836,,
4/12/19,5815.04,8686.666,16350.19,313.7823,,
4/15/19,5811.51,8711.371,16445.32,316.9101,,
4/16/19,5814.46,8743.452,16510.75,317.9026,,
4/17/19,5801.83,8715.457,16584.3,318.5659,,
4/18/19,5811.13,8707.176,16653.71,315.7585,,
4/23/19,5868.88,8694.17,16643.28,318.4872,,
4/24/19,5856.03,8661.502,16545.73,317.7801,,
4/25/19,5853.87,8589.275,16401.69,318.5995,,
5/7/19,5771.59,8541.379,16093.38,316.8624,,
5/8/19,5762.48,8488.434,16142.98,313.7729,,
5/9/19,5747.08,8425.777,15888.22,311.5083,,
5/10/19,5770.44,8421.55,15967.57,311.3008,,
5/13/19,5631.41,8376.53,15793.34,309.4913,,
5/14/19,5677.2,8360.83,16031.17,309.089,,
5/15/19,5711.49,8393.394,16089.65,309.4036,,
5/16/19,5763.95,8430.761,16316.34,308.1205,,
5/17/19,5730.89,8446.117,16237.82,309.7372,,
5/20/19,5692.3,8357.951,16004.05,309.6754,,
5/21/19,5740.81,8404.936,16114.98,309.5026,,
5/22/19,5724.71,8408.004,16095.57,309.6615,,
5/23/19,5657.1,8251.181,15784.99,307.316,,
5/24/19,5665.6,8274.012,15942.05,308.68,,
5/28/19,5618.18,8321.98,15974.5,310.9081,,
5/29/19,5579.51,8179.666,15716.51,307.6202,,
5/30/19,5591.97,8199.746,15754,306.1803,,
5/31/19,5519.27,8130.23,15621.39,301.6994,,
6/3/19,5504.05,8091.005,15788.32,302.0752,,
6/4/19,5622.31,8173.689,15982.5,302.5578,,
6/5/19,5668.89,8271.218,16069.23,307.361,,
6/6/19,5705.22,8290.071,15992.4,307.1206,,
6/7/19,5765.66,8341.878,16321.65,308.398,,
6/10/19,5792.56,8442.963,16450.72,312.0998,,
6/11/19,5790.83,8471.946,16549.2,313.3915,,
6/12/19,5779.12,8440.852,16463.21,311.9584,,
6/13/19,5804.53,8450.441,16416.1,310.4756,,
6/14/19,5795.96,8401.871,16369.61,312.2094,,
6/17/19,5801.4,8355.445,16348.87,311.581,,
6/18/19,5857.95,8343.159,16729.61,309.4549,,
6/19/19,5875.45,8420.854,16716.67,314.7113,,
6/20/19,5931.66,8488.371,16832.56,317.9749,,
6/21/19,5924.54,8499.051,16895.99,317.4156,,
6/24/19,5914.29,8546.985,17008.9,317.7233,,
6/25/19,5858.13,8509.061,17016.34,316.3091,,
6/26/19,5850.9,8513.505,16928.44,315.6908,,
6/27/19,5874.15,8491.427,16913.68,317.7701,,
6/28/19,5908.25,8504.332,17050.61,316.9724,,
7/1/19,5953.63,8546.523,17127.63,321.8402,,
7/2/19,5971.29,8595.307,17038.06,322.2478,,
7/3/19,5982.9,8633.443,17185.08,322.1958,,
7/5/19,6008.31,8606.303,17097.34,323.7982,,
7/8/19,5979.34,8563.322,16998.27,318.6725,,
7/9/19,5988.48,8533.577,16929.19,318.4032,,
7/10/19,6015.56,8491.506,16903.72,317.3431,,
7/11/19,6029.33,8509.619,16932.33,320.7021,,
7/12/19,6057.77,8511.132,16986.37,320.5782,,
7/16/19,6038.4,8542.276,17127.19,320.4138,,
7/17/19,5999.05,8463.999,16922.32,318.5096,,
7/18/19,6021.15,8438.176,16884.17,312.9987,,
7/19/19,5984.2,8502.804,16937.53,320.8493,,
7/22/19,6001.28,8501.617,16917.15,318.8847,,
7/23/19,6042.48,8502.012,17054.01,321.643,,
7/24/19,6071.05,8437.146,16933.39,321.9837,,
7/25/19,6039.13,8453.612,16836.05,322.8087,,
7/26/19,6083.82,8458.732,16938.28,319.9381,,
7/29/19,6074.01,8476.356,16889.99,319.4242,,
7/30/19,6058.96,8472.376,16634.8,320.1263,,
7/31/19,5993.17,8359.118,16680.74,318.246,,
8/1/19,5939.83,8310.493,16667.33,317.7785,,
8/2/19,5897.1,8138.545,16082.59,315.1056,,
8/5/19,5721.8,7939.613,15771.53,312.1045,,
8/6/19,5796.72,7906.538,15943.3,312.9608,,
8/7/19,5801.32,7899.597,15987.83,309.7332,,
8/8/19,5911.66,7962.877,16352.67,311.5252,,
8/9/19,5873.47,8013.963,16145.68,313.6389,,
8/13/19,5890.16,7893.693,16297.4,311.68,,
8/14/19,5719.3,7823.862,15899.07,311.085,,
8/15/19,5734.49,7749.338,15807.67,309.2833,,
8/16/19,5818.17,7821.18,15957.76,308.9956,,
8/19/19,5888.93,7921.864,16142.8,310.1655,,
8/20/19,5842.76,7907.197,16046.43,311.4645,,
8/21/19,5891.19,7928.277,16340.7,311.4578,,
8/22/19,5888.37,7894.388,16188.47,310.6562,,
8/23/19,5735.63,7962.498,15994.31,312.2826,,
8/27/19,5780.79,7886.763,16203.88,309.8663,,
8/28/19,5818.84,7932.233,16128.98,310.924,,
8/29/19,5893.65,7950.786,16366.66,309.9066,,
8/30/19,5898.23,8015.439,16422.78,312.5095,,
9/3/19,5857.95,8002.283,16241.26,312.0321,,
9/4/19,5921.96,8050.274,16446.39,313.3747,,
9/5/19,6000.38,8148.85,16720.18,318.6072,,
9/6/19,6006.07,8191.402,16753.97,318.0893,,
9/9/19,6005.99,8121.246,16685.26,320.2525,,
9/10/19,6008.12,8154.993,16740.02,320.1857,,
9/11/19,6051.87,8238.954,16817.38,322.4738,,
9/12/19,6070.23,8265.761,16835.24,323.6241,,
9/13/19,6067.5,8279.235,16941.49,326.5566,,
9/17/19,6064.31,8316.172,16742.7,326.7954,,
9/18/19,6066.42,8375.107,16862.68,326.4156,,
9/19/19,6066.9,8342.504,16911.68,326.6388,,
9/20/19,6037.5,8414.967,17032.73,328.3148,,
9/24/19,5986.58,8308.412,16762.28,329.9124,,
9/25/19,6023.46,8263.751,16664.68,330.1211,,
9/26/19,6009.19,8253.9,16677.04,328.9186,,
9/27/19,5978.11,8319.043,16712.43,328.5848,,
9/30/19,6008.59,8350.627,16853.41,326.1675,,
10/1/19,5935.2,8292.794,16550.09,327.728,,
10/2/19,5828.93,8031.357,16085.01,327.1363,,
10/3/19,5876.86,7917.806,16174.88,322.2912,,
10/4/19,5960.43,8024.983,16339.66,324.345,,
10/7/19,5933.76,8082.813,16455.55,324.0036,,
10/8/19,5841.57,8063.909,16240.45,325.7393,,
10/9/19,5896.6,8015.323,16349.08,324.6343,,
10/10/19,5934.56,8010.372,16598.76,325.4205,,
10/11/19,6000.04,8170.955,16921.85,327.0066,,
10/15/19,6051.39,8325.458,17058.88,331.5707,,
10/16/19,6039.69,8392.239,17052.33,334.2151,,
10/17/19,6056.84,8450.166,17042.86,334.3321,,
10/18/19,6033.26,8460.834,17012.13,335.2361,,
10/21/19,6074.9,8473.645,17092.39,336.6103,,
10/23/19,6070.87,8528.391,17067.25,337.5185,,
10/24/19,6082.54,8628.46,17165.28,338.8898,,
10/25/19,6107.42,8601.8,17235.36,339.7355,,
10/28/19,6141.51,8610.228,17230.1,340.3395,,
10/29/19,6136.47,8595.507,17282.07,341.22,,
10/30/19,6156.93,8617.614,17384.03,339.5599,,
10/31/19,6138.73,8603.777,17337.12,341.064,,
11/1/19,6198.59,8632.784,17438.11,342.453,,
11/5/19,6214.28,8744.591,17655.53,346.2256,,
11/6/19,6219.1,8729.969,17628.94,345.5603,,
11/7/19,6238.99,8759.916,17695.73,346.6944,,
11/8/19,6256.11,8652.398,17610.85,346.462,,
11/11/19,6243.81,8556.633,17627.53,345.7247,,
11/12/19,6253.91,8680.7,17726,349.1016,,
11/13/19,6258.58,8645.127,17651.07,346.2812,,
11/14/19,6265.42,8653.204,17634.47,344.2493,,
11/15/19,6314.74,8613.054,17760.35,347.6335,,
11/18/19,6318.02,8699.373,17788.37,348.6605,,
11/19/19,6314.66,8736.397,17753.82,346.9307,,
11/20/19,6292.17,8616.258,17720.93,345.4842,,
11/21/19,6282.59,8592.514,17680.56,343.738,,
11/22/19,6296.34,8636.824,17695.6,344.5067,,
11/25/19,6344.36,8697.275,17726.42,346.7256,,
11/26/19,6358.46,8796.163,17727.58,347.0878,,
11/27/19,6385.76,8789.699,17732.35,347.7098,,
11/29/19,6361.56,8770.564,17650.19,344.266,,
12/2/19,6306.88,8687.586,17315.11,347.6748,,
12/3/19,6265.22,8536.235,17231.29,347.0886,,
12/4/19,6305.49,8579.965,17458.98,344.6241,,
12/5/19,6316.69,8644.614,17461.11,346.509,,
12/6/19,6374.7,8683.814,17716.83,347.6169,,
12/9/19,6355.07,8768.495,17538.45,349.109,,
12/10/19,6348.31,8675.472,17580.54,348.9479,,
12/11/19,6366.84,8735.893,17663.34,348.0912,,
12/12/19,6422.35,8808.189,17802.74,349.2719,,
12/13/19,6423.93,9000.955,17988.63,355.3641,,
12/16/19,6470.03,9079.689,18109.58,354.3596,,
12/17/19,6472.24,9201.438,18059.15,355.4709,,
12/18/19,6470,9119.094,18056.28,353.7195,,
12/19/19,6499.26,9108.793,18037.16,352.5784,,
12/20/19,6531.75,9106.506,18202.3,352.4065,,
12/23/19,6537.4,9092.128,18150.48,352.0994,,
12/24/19,6536.58,9115.609,18173.96,352.6161,,
12/27/19,6571.03,9173.046,18209.51,352.7984,,
12/30/19,6533.91,9193.434,18175.06,350.4829,,
1/6/20,6586.54,9114.698,18259.76,348.4517,,
1/7/20,6568.74,9218.876,18314.95,352.5773,,
1/8/20,6601.15,9134.335,18300.78,348.2825,,
1/9/20,6646.84,9189.003,18267.57,352.997,,
1/10/20,6627.87,9176.776,18247.67,353.1014,,
1/14/20,6664.66,9123.71,18303.15,354.118,,
1/15/20,6677.25,9172.692,18270.12,352.9603,,
1/16/20,6733.35,9172.183,18327.54,353.1113,,
1/17/20,6759.51,9216.123,18490.79,353.7665,,
1/21/20,6741.71,9093.118,18254.75,351.1728,,
1/22/20,6743.9,9138.559,18130.54,354.4798,,
1/23/20,6752.09,9132.841,18029.95,351.5757,,
1/24/20,6691.22,9120.955,18120.79,352.6103,,
1/27/20,6585.95,8941.769,17588.15,347.8339,,
1/28/20,6652.3,8961.815,17767.54,345.5548,,
1/29/20,6646.69,8999.932,17859.21,347.3153,,
1/30/20,6668.52,8872.058,17604.25,341.8247,,
1/31/20,6551,8817.601,17427.48,345.5568,,
2/3/20,6598.63,8892.387,17602.31,343.6776,,
2/4/20,6697.49,8817.659,17868.38,344.5998,,
2/5/20,6772.98,8940.687,17994.49,345.4515,,
2/6/20,6796.64,9005.965,18079.27,352.4768,,
2/7/20,6761.26,8910.119,18022.3,351.3107,,
2/10/20,6811.83,8867.602,17925.08,350.2459,,
2/12/20,6867.92,8998.629,18140.78,352.201,,
2/13/20,6858.92,8909.074,18034.27,351.6973,,
2/14/20,6872.68,8966.505,17914.39,349.9092,,
2/18/20,6853.04,8879.787,17867.72,342.3903,,
2/19/20,6886.47,8909.686,17953.91,345.1649,,
2/20/20,6860.52,8935.308,17834.37,342.3017,,
2/21/20,6788.6,8825.189,17702.25,338.6886,,
2/25/20,6363.37,8415.514,16769.2,330.6129,,
2/26/20,6339.38,8304.693,16834.3,329.6899,,
2/27/20,6060.67,8104.894,16280.57,322.6712,,
2/28/20,6011.73,7769.016,15891.34,312.8252,,
3/2/20,6288.64,7762.596,16040.5,321.5571,,
3/3/20,6112.07,7927.685,16356.68,315.3068,,
3/4/20,6370.35,8015.269,16628.68,319.8409,,
3/5/20,6155.58,8023.34,16252.17,321.3914,,
3/6/20,6050.8,7790.495,15697.75,316.8665,,
3/9/20,5591.74,7218.416,14588.41,307.5025,,
3/10/20,5868.11,7249.593,14382.54,312.615,,
3/11/20,5581.76,7076.76,14198.55,299.9497,,
3/12/20,5051.97,6283.499,12394.91,288.0245,,
3/13/20,5522.85,6161.944,12536.18,270.355,,
3/16/20,4861.22,5685.353,11784.31,258.5649,,
3/17/20,5152.83,5716.176,12127.75,259.9592,,
3/18/20,4885.78,5679.66,11256.96,252.743,,
3/19/20,4909.13,5379.347,11502.1,247.8491,,
3/23/20,4559.5,5356.943,11392.94,248.0536,,
3/24/20,4987.8,5421.499,12439.58,264.8715,,
3/25/20,5045.35,5962.232,13041.37,285.4077,,
3/26/20,5360.49,6114.162,13476.41,273.13,,
3/27/20,5179.92,6184.024,13094.73,288.3292,,
3/30/20,5354.39,6247.442,13307.57,290.9749,,
3/31/20,5269.2,6431.533,13230.82,286.7493,,
4/1/20,5036.64,6298.152,12657.9,275.1829,,
4/2/20,5152.47,6243.835,12615.14,272.0603,,
4/3/20,5075.16,6251.641,12296.36,270.2084,,
4/6/20,5432.17,6184.99,12815.35,279.88,,
4/7/20,5423.52,6386.212,13083.2,284.4088,,
4/8/20,5609.55,6445.894,13207.14,291.6985,,
4/9/20,5691.54,6575.462,13358.96,290.8604,,
4/14/20,5807.1,6762.344,13482.76,298.8245,,
4/15/20,5679.53,6578.547,13049.68,298.916,,
4/16/20,5712.6,6530.199,12943.7,293.5582,,
4/17/20,5865.9,6572.052,13329.35,301.854,,
4/20/20,5761,6664.484,13426.65,299.1551,,
4/21/20,5584.44,6563.008,12924.32,293.2514,,
4/22/20,5712.65,6486.976,13075.41,290.9385,,
4/23/20,5710.04,6613.718,13134.69,295.1177,,
4/24/20,5789.65,6623.407,12925.34,292.9712,,
4/27/20,5874.94,6658.227,13312.06,301.3803,,
4/28/20,5844.18,6785.722,13505.48,301.7923,,
4/30/20,5944.68,6885.436,13577.95,310.1872,,
5/7/20,5884.14,6762.312,13337.61,303.4088,,
5/11/20,5985.66,6864.735,13371.64,312.3076,,
5/12/20,5863.68,6833.425,13285.62,310.061,,
5/13/20,5761.7,6769.178,12951.41,309.7798,,
5/14/20,5829.33,6505.307,12710.16,304.9789,,
5/15/20,5852.84,6593.588,12703.89,305.6232,,
5/18/20,6037.9,6579.609,13377.13,307.541,,
5/19/20,5975.15,6831.346,13372.54,311.5944,,
5/20/20,6075.76,6858.589,13504.6,312.8105,,
5/21/20,6028.93,6900.92,13417.31,312.7952,,
5/22/20,6044.16,6760.497,13377.9,310.1816,,
5/26/20,6118.54,6868.273,13801.37,323.4473,,
5/27/20,6209.38,7029.79,14150.07,326.2925,,
5/28/20,6197.02,7079.242,14446.73,332.936,,
5/29/20,6227.81,7014.612,14297.09,332.8329,,
6/1/20,6251.48,7048.782,14558.59,335.4372,,
6/2/20,6303,7231.894,14867.61,339.9442,,
6/3/20,6389.67,7351.705,15458.24,340.3412,,
6/4/20,6369.54,7459.699,15490.36,340.9796,,
6/5/20,6536.58,7511.639,16210.36,343.0283,,
6/8/20,6615.4,7678.699,16116.69,346.2097,,
6/9/20,6564.27,7567.24,15846.73,348.8065,,
6/10/20,6529.42,7515.701,15754.11,351.3021,,
6/11/20,6145.3,7262.323,15056.72,344.0006,,
6/12/20,6227.42,7087.219,15027.73,342.0068,,
6/15/20,6279.4,7000.815,14906.83,328.5682,,
6/16/20,6398.58,7206.399,15446.91,344.1201,,
6/17/20,6375.54,7375.818,15483.61,342.3652,,
6/18/20,6379.56,7300.486,15337.16,342.4813,,
6/19/20,6344.7,7273.069,15357.48,344.001,,
6/22/20,6385.91,7228.688,15217.45,343.9281,,
6/23/20,6413.44,7340.954,15583.95,345.4108,,
6/24/20,6247.66,7212.232,15173.29,346.7057,,
6/25/20,6316.45,7039.483,15237.12,340.5198,,
6/26/20,6163.5,7184.358,15170.52,344.0012,,
6/29/20,6254.78,7108.115,15309.85,336.3933,,
6/30/20,6351.67,7117.75,15309.59,339.6895,,
7/1/20,6383.76,7090.404,15271.15,335.8993,,
7/2/20,6414.16,7225.689,15674.06,338.2184,,
7/6/20,6516.05,7231.136,15781.47,346.2136,,
7/7/20,6445.59,7269.365,15784.97,345.3995,,
7/8/20,6496.14,7255.044,15540.44,342.0131,,
